11BIT
ABCDATA
ABPL
ACTION
AGROTON
AIRWAY
ALCHEMIA
ALIOR
ALMA
AMBRA
AMICA
AMREST
APATOR
ARCTIC
ASBIS
ASSECOPOL
ATAL
ATMGRUPA
AUTOPARTN
BALTONA
BBIDEV
BENEFIT
BIOMEDLUB
BIOTON
BOGDANKA
BORYSZEW
BOS
BRASTER
BUDIMEX
BUMECH
BYTOM
BZWBK
CAPITAL
CCC
CDPROJEKT
CEZ
CHEMOS
CIECH
CIGAMES
CLNPHARMA
COMARCH
COMP
CORMAY
CUBEITG
CYFRPLSAT
DINOPL
DOMDEV
ECHO
EKOEXPORT
ELBUDOWA
ELEMENTAL
ENEA
ENERGA
ERBUD
ESOTIQ
EUCO
EUROCASH
FAMUR
FORTE
FOTA
GETBACK
GETBACK-PDA
GETIN
GETINOBLE
GLCOSMED
GOBARTO
GPRE
GPW
GROCLIN
GRUPAAZOTY
GTC
HANDLOWY
HELIO
HERKULES
HYPERION
I2DEV
IDEABANK
IFIRMA
IFSA
IMMOBILE
IMPEXMET
INC
INDATA
INGBSK
INTERCARS
INTERSPPL
JSW
KANIA
KERNEL
KETY
KGHM
KOMPUTRON
KOPEX
KREZUS
KRUK
LCCORP
LENTEX
LIBET
LIVECHAT
LOTOS
LPP
LSISOFT
LUBAWA
MABION
MARVIPOL
MAXCOM-PDA
MBANK
MCI
MEDICALG
MERCATOR
MEXPOLSKA
MILKILAND
MILLENNIUM
MIRBUD
MONNARI
MOSTALWAR
MOSTALZAB
NETIA
NEUCA
NOVITA
OPENFIN
ORANGEPL
ORBIS
PAMAPOL
PANOVA
PBG
PBKM
PCCROKITA
PEKAO
PEP
PETROLINV
PFLEIDER
PGE
PGNIG
PGSSOFT
PKNORLEN
PKOBP
PKPCARGO
PLAY
PLAYWAY
POLIMEXMS
POLNORD
POLWAX
PRAGMAFA
PRAIRIE
PZU
QUANTUM
QUMAK
RAFAKO
RANKPROGR
RAWLPLUG
ROBYG
SANOK
SELVITA
SERINUS
SKARBIEC
SKOTAN
STALEXP
STALPROD
SYGNITY
SYNTHOS
TAURONPE
TERMOREX
TORPOL
TRAKCJA
TRANSPOL
TRANSPOL-PDA
UNIBEP
UNIMOT
URSUS
VINDEXUS
VISTAL
VISTULA
VIVID
VOXEL
WADEX
WAWEL
WIELTON
WIRTUALNA
WORKSERV
XTB
ZEPAK
